iter	RMSE
0	0.3886739916
1	0.3807050196
2	0.3736715368
3	0.3667422331
4	0.3593462391
5	0.3526313325
6	0.3466923776
7	0.3403698445
8	0.3345029025
9	0.3282907821
10	0.322286501
11	0.3162477313
12	0.3109402745
13	0.3055380617
14	0.3002913167
15	0.2953873786
16	0.2905529788
17	0.2858673044
18	0.2812450096
19	0.2766777145
20	0.272577539
21	0.2688550472
22	0.2647725893
23	0.2609576381
24	0.2570217618
25	0.25333327
26	0.249384977
27	0.2458249675
28	0.2426874242
29	0.2390897948
30	0.235431401
31	0.2320712668
32	0.228917349
33	0.2262466102
34	0.2233377599
35	0.2202779396
36	0.217265211
37	0.2142701187
38	0.2117910667
39	0.208959541
40	0.2065472562
41	0.203959522
42	0.2018659574
43	0.1993992662
44	0.1973990479
45	0.1952915747
46	0.1933555214
47	0.191214632
48	0.1890726054
49	0.1872573367
50	0.1854157425
51	0.1835114852
52	0.1818115333
53	0.1801235854
54	0.1784259803
55	0.1768469023
56	0.1750682382
57	0.1734815943
58	0.1717757696
59	0.1703371858
60	0.168984901
61	0.167546009
62	0.1661394393
63	0.1646129414
64	0.1633977992
65	0.1619401733
66	0.1607153854
67	0.1594711225
68	0.1583518198
69	0.1571581607
70	0.1561538202
71	0.1553447743
72	0.1543522908
73	0.1533017313
74	0.1522476164
75	0.1513156839
76	0.1504099984
77	0.1494368412
78	0.1487565103
79	0.1477739009
80	0.1469459864
81	0.146113891
82	0.1452593153
83	0.144407867
84	0.143556432
85	0.1428852789
86	0.1423052641
87	0.1414966834
88	0.1408314275
89	0.1401882503
90	0.1396172903
91	0.1390348989
92	0.1384222938
93	0.1378463507
94	0.1372317302
95	0.1366823693
96	0.1360303792
97	0.1354361306
98	0.134917217
99	0.1343173801
100	0.1338535751
101	0.1332986278
102	0.1328259855
103	0.1324591599
104	0.1319549131
105	0.1314741914
106	0.1310926068
107	0.1306900175
108	0.1303524602
109	0.1299016841
110	0.1294477144
111	0.1290464182
112	0.1286380639
113	0.1282208414
114	0.1278676349
115	0.1274966867
116	0.1270878836
117	0.12671927
118	0.1263523329
119	0.1260865615
120	0.1258039101
121	0.1254806683
122	0.1250819412
123	0.1247202107
124	0.12432906
125	0.1240292577
126	0.1236794108
127	0.1234800268
128	0.1231742285
129	0.1229199402
130	0.1226360575
131	0.1223544973
132	0.1220618536
133	0.121799277
134	0.1215332548
135	0.1212879684
136	0.12101943
137	0.1207317837
138	0.1205628596
139	0.1202752242
140	0.1200711033
141	0.1197827045
142	0.1194792458
143	0.1192574139
144	0.1190047684
145	0.1187995744
146	0.1185480671
147	0.1183508566
148	0.118131064
149	0.117940636
150	0.1176389239
151	0.1174238899
152	0.1172493462
153	0.1170569832
154	0.1168256519
155	0.1166224148
156	0.116393431
157	0.1162099627
158	0.1159645263
159	0.115789943
160	0.1156175672
161	0.1154967788
162	0.1152484249
163	0.1150961848
164	0.114974689
165	0.1147641193
166	0.1145603474
167	0.1144276427
168	0.1142657748
169	0.1141638238
170	0.1139821726
171	0.1137979088
172	0.1136179486
173	0.1133725676
174	0.113214776
175	0.1130707503
176	0.1128669757
177	0.1127063943
178	0.1125715924
179	0.1123706888
180	0.1122375806
181	0.1120041312
182	0.1118580171
183	0.1117298995
184	0.1115543226
185	0.1114438293
186	0.1112839183
187	0.1111640425
188	0.1110344867
189	0.1108684718
190	0.1106986714
191	0.1104922015
192	0.1102679575
193	0.1101368675
194	0.1099963976
195	0.1098363208
196	0.1097039295
197	0.1095433451
198	0.1094506838
199	0.1092738765
200	0.1091259575
201	0.109019554
202	0.1088756821
203	0.1087462363
204	0.1085335099
205	0.1084001642
206	0.1082645529
207	0.1081348872
208	0.1080007406
209	0.1078877133
210	0.1077549852
